product_title,product_id,Product_Price,product_year,product_grade,Product_Grade_Service,Product_Denomination,Product_Mint_Mark,Product_Metal_Mark,product_purity,Product_thinkness,Product_Diameter,First_Image,Second_Image,Third_Image,Stock
"
                    Mexico 1/10 oz Silver Libertad Proof (Random Year)
                ",63834,,Random,Proof,None,1/10 Onza,Mo - Mexico City,0.1 troy oz,0.999,1.4 mm,20 mm,https://apmex.exceda.com/images/Catalog Images/Products/63834_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/63834_Rev.jpg?v=20130602094622&width=450&height=450,,0
"
                    2010 Mexico 2 oz Silver Libertad Proof (In Capsule)
                ",57112,,2010,Proof,None,2 Onzas,Mo - Mexico City,2 troy oz,0.999,4.5 mm,48 mm,https://apmex.exceda.com/images/Catalog Images/Products/57112_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/57112_Rev.jpg?v=20130602094622&width=450&height=450,,0
"
                    2010 Mexico 1 oz Silver Libertad Proof (In Capsule)
                ",57110,,2010,Proof,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,https://apmex.exceda.com/images/Catalog Images/Products/57110_Obv.jpg?v=20150716045831&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/57110_Rev.jpg?v=20150716045831&width=450&height=450,,0
"
                    2007 Mexico 1 oz Silver Libertad Proof (In Capsule)
                ",60621,,2007,Proof,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,,,,0
"
                    1996 Mexico 1 oz Silver Libertad Proof (In Capsule)
                ",63199,,1996,Proof,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,https://apmex.exceda.com/images/Catalog Images/Products/63199_Obv.jpg?v=20141002041913&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/63199_Rev.jpg?v=20141002041913&width=450&height=450,,0
"
                    2011 Mexico 5 oz Silver Libertad BU
                ",60598,$207.45,2011,Brilliant Unc,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/60598_Obv.jpg?v=20150511091542&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/60598_Rev.jpg?v=20150511091542&width=450&height=450,,1
"
                    2001 Mexico 1 oz Silver Libertad Proof (In Capsule)
                ",61407,,2001,Proof,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,,,,0
"
                    2011 Mexico 2 oz Silver Libertad BU
                ",60596,,2011,Brilliant Unc,None,2 Onzas,Mo - Mexico City,2 troy oz,0.999,4.5 mm,48 mm,https://apmex.exceda.com/images/Catalog Images/Products/60596_Obv.jpg?v=20150511091523&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/60596_Rev.jpg?v=20150511091523&width=450&height=450,,0
"
                    2011 Mexican 5 oz Silver Libertad Proof (In Capsule)
                ",60599,$267.45,2011,Proof,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/60599_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/60599_Rev.jpg?v=20130602094622&width=450&height=450,,1
"
                    2011 Mexico 2 oz Silver Libertad Proof (In Capsule)
                ",60597,,2011,Proof,None,2 Onzas,Mo - Mexico City,2 troy oz,0.999,4.5 mm,48 mm,https://apmex.exceda.com/images/Catalog Images/Products/60597_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/60597_Rev.jpg?v=20130602094622&width=450&height=450,,0
